;;;
;;;
;;;
Categorías;Casos;%;Acumulado %
0;27;12;12
1;193;88;100
Total;220;100;100
;;;
AREA # 020011501;178;;
;;;
Categorías;Casos;%;Acumulado %
0;38;21;21
1;146;79;100
Total;184;100;100
;;;
AREA # 020011502;179;;
;;;
Categorías;Casos;%;Acumulado %
0;69;27;27
1;182;73;100
Total;251;100;100
;;;
AREA # 020011503;180;;
;;;
Categorías;Casos;%;Acumulado %
0;36;18;18
1;164;82;100
Total;200;100;100
;;;
AREA # 020011504;181;;
;;;
Categorías;Casos;%;Acumulado %
0;30;9;9
1;307;91;100
Total;337;100;100
;;;
AREA # 020011505;182;;
;;;
Categorías;Casos;%;Acumulado %
0;26;14;14
1;165;86;100
Total;191;100;100
;;;
AREA # 020011506;183;;
;;;
Categorías;Casos;%;Acumulado %
0;46;15;15
1;264;85;100
Total;310;100;100
;;;
AREA # 020011507;184;;
;;;
Categorías;Casos;%;Acumulado %
0;43;16;16
1;228;84;100
Total;271;100;100
;;;
AREA # 020011508;185;;
;;;
Categorías;Casos;%;Acumulado %
0;56;18;18
1;257;82;100
Total;313;100;100
;;;
AREA # 020011509;186;;
;;;
Categorías;Casos;%;Acumulado %
0;78;22;22
1;276;78;100
Total;354;100;100
;;;
AREA # 020011510;187;;
;;;
Categorías;Casos;%;Acumulado %
0;55;19;19
1;237;81;100
Total;292;100;100
;;;
AREA # 020011511;188;;
;;;
Categorías;Casos;%;Acumulado %
0;60;21;21
1;222;79;100
Total;282;100;100
;;;
AREA # 020011601;189;;
;;;
Categorías;Casos;%;Acumulado %
0;47;24;24
1;151;76;100
Total;198;100;100
;;;
AREA # 020011602;190;;
;;;
Categorías;Casos;%;Acumulado %
0;28;17;17
1;137;83;100
Total;165;100;100
;;;
AREA # 020011603;191;;
;;;
Categorías;Casos;%;Acumulado %
0;73;17;17
1;351;83;100
Total;424;100;100
;;;
AREA # 020011604;192;;
;;;
Categorías;Casos;%;Acumulado %
0;54;15;15
1;296;85;100
Total;350;100;100
;;;
AREA # 020011605;193;;
;;;
Categorías;Casos;%;Acumulado %
0;36;17;17
1;172;83;100
Total;208;100;100
;;;
AREA # 020011606;194;;
;;;
Categorías;Casos;%;Acumulado %
0;50;22;22
1;178;78;100
Total;228;100;100
;;;
AREA # 020011607;195;;
;;;
Categorías;Casos;%;Acumulado %
0;103;22;22
1;374;78;100
Total;477;100;100
;;;
AREA # 020011608;196;;
;;;
Categorías;Casos;%;Acumulado %
0;33;15;15
1;189;85;100
Total;222;100;100
;;;
AREA # 020011609;197;;
;;;
Categorías;Casos;%;Acumulado %
0;17;11;11
1;143;89;100
Total;160;100;100
;;;
AREA # 020011610;198;;
;;;
Categorías;Casos;%;Acumulado %
0;30;10;10
1;261;90;100
Total;291;100;100
;;;
AREA # 020011611;199;;
;;;
Categorías;Casos;%;Acumulado %
0;31;14;14
1;187;86;100
Total;218;100;100
;;;
AREA # 020011612;200;;
;;;
Categorías;Casos;%;Acumulado %
0;30;21;21
1;110;79;100
Total;140;100;100
;;;
AREA # 020011701;201;;
;;;
Categorías;Casos;%;Acumulado %
0;71;18;18
1;320;82;100
Total;391;100;100
;;;
AREA # 020011702;202;;
;;;
Categorías;Casos;%;Acumulado %
0;89;29;29
1;214;71;100
Total;303;100;100
;;;
AREA # 020011703;203;;
;;;
Categorías;Casos;%;Acumulado %
0;64;20;20
1;261;80;100
Total;325;100;100
;;;
AREA # 020011704;204;;
;;;
Categorías;Casos;%;Acumulado %
0;62;21;21
1;227;79;100
Total;289;100;100
;;;
AREA # 020011705;205;;
;;;
Categorías;Casos;%;Acumulado %
0;37;14;14
1;219;86;100
Total;256;100;100
;;;
AREA # 020011706;206;;
;;;
Categorías;Casos;%;Acumulado %
0;72;19;19
1;298;81;100
Total;370;100;100
;;;
AREA # 020011707;207;;
;;;
Categorías;Casos;%;Acumulado %
0;53;16;16
1;270;84;100
Total;323;100;100
;;;
AREA # 020011708;208;;
;;;
Categorías;Casos;%;Acumulado %
0;50;18;18
1;221;82;100
Total;271;100;100
;;;
AREA # 020011709;209;;
;;;
Categorías;Casos;%;Acumulado %
0;33;14;14
1;206;86;100
Total;239;100;100
;;;
AREA # 020011710;210;;
;;;
Categorías;Casos;%;Acumulado %
0;37;13;13
1;242;87;100
Total;279;100;100
;;;
AREA # 020011711;211;;
;;;
Categorías;Casos;%;Acumulado %
0;25;11;11
1;195;89;100
Total;220;100;100
;;;
AREA # 020011801;212;;
;;;
Categorías;Casos;%;Acumulado %
0;62;14;14
1;381;86;100
Total;443;100;100
;;;
AREA # 020011802;213;;
;;;
Categorías;Casos;%;Acumulado %
0;38;11;11
1;322;89;100
Total;360;100;100
;;;
AREA # 020011803;214;;
;;;
Categorías;Casos;%;Acumulado %
0;56;19;19
1;239;81;100
Total;295;100;100
;;;
AREA # 020011804;215;;
;;;
Categorías;Casos;%;Acumulado %
0;60;17;17
1;283;83;100
Total;343;100;100
;;;
AREA # 020011805;216;;
;;;
Categorías;Casos;%;Acumulado %
0;39;14;14
1;238;86;100
Total;277;100;100
;;;
AREA # 020011806;217;;
;;;
Categorías;Casos;%;Acumulado %
0;125;25;25
1;382;75;100
Total;507;100;100
;;;
AREA # 020011807;218;;
;;;
Categorías;Casos;%;Acumulado %
0;73;23;23
1;245;77;100
Total;318;100;100
;;;
AREA # 020011808;219;;
;;;
